subtopic,chapter number,chapter name
Introduction,1,Real Numbers
Euclid's Division Lemma,1,Real Numbers
The Fundamental Theorem of Arithmetic,1,Real Numbers
Revisiting Irrational Numbers,1,Real Numbers
Revisiting Rational Numbers and Their Decimal Expansions,1,Real Numbers
Summary,1,Real Numbers
Introduction,2,Polynomials
Geometrical Meaning of the Zeroes of a Polynomial,2,Polynomials
Relationship between Zeroes and Coefficients of a Polynomial,2,Polynomials
Division Algorithm for Polynomials,2,Polynomials
Summary,2,Polynomials
Introduction,3,Pair of Linear Equations in Two Variables
Pair of Linear Equations in Two Variables,3,Pair of Linear Equations in Two Variables
Graphical Method of Solution,3,Pair of Linear Equations in Two Variables
Algebraic Methods of Solving a Pair of Linear Equations,3,Pair of Linear Equations in Two Variables
Substitution Method,3,Pair of Linear Equations in Two Variables
Elimination Method,3,Pair of Linear Equations in Two Variables
Cross-Multiplication Method,3,Pair of Linear Equations in Two Variables
Equations Reducible to a Pair of Linear Equations,3,Pair of Linear Equations in Two Variables
Summary,3,Pair of Linear Equations in Two Variables
Introduction,4,Quadratic Equations
Quadratic Equations,4,Quadratic Equations
Solution of a Quadratic Equation by Factorisation,4,Quadratic Equations
Solution of a Quadratic Equation by Completing the Square,4,Quadratic Equations
Nature of Roots,4,Quadratic Equations
Summary,4,Quadratic Equations
Introduction,5,Arithmetic Progressions
Arithmetic Progressions,5,Arithmetic Progressions
nth Term of an AP,5,Arithmetic Progressions
Sum of First n Terms of an AP,5,Arithmetic Progressions
Summary,5,Arithmetic Progressions
Introduction,6,Triangles
Similar Figures,6,Triangles
Similarity of Triangles,6,Triangles
Criteria for Similarity of Triangles,6,Triangles
Areas of Similar Triangles,6,Triangles
Pythagoras Theorem,6,Triangles
Summary,6,Triangles
Introduction,7,Coordinate Geometry
Distance Formula,7,Coordinate Geometry
Section Formula,7,Coordinate Geometry
Area of a Triangle,7,Coordinate Geometry
Summary,7,Coordinate Geometry
Introduction,8,Introduction to Trigonometry
Trigonometric Ratios,8,Introduction to Trigonometry
Trigonometric Ratios of Some Specific Angles,8,Introduction to Trigonometry
Trigonometric Ratios of Complementary Angles,8,Introduction to Trigonometry
Trigonometric Identities,8,Introduction to Trigonometry
Summary,8,Introduction to Trigonometry
Introduction,9,Some Applications of Trigonometry
Heights and Distances,9,Some Applications of Trigonometry
Summary,9,Some Applications of Trigonometry
Introduction,10,Circles
Tangent to a Circle,10,Circles
Number of Tangents from a Point on a Circle,10,Circles
Summary,10,Circles
Introduction,11,Constructions
Division of a Line Segment,11,Constructions
Construction of Tangents to a Circle,11,Constructions
Summary,11,Constructions
Introduction,12,Areas Related to Circles
Perimeter and Area of a Circle — A Review,12,Areas Related to Circles
Areas of Sector and Segment of a Circle,12,Areas Related to Circles
Areas of Combinations of Plane Figures,12,Areas Related to Circles
Summary,12,Areas Related to Circles
Introduction,13,Surface Areas and Volumes
Surface Area of a Combination of Solids,13,Surface Areas and Volumes
Volume of a Combination of Solids,13,Surface Areas and Volumes
Conversion of Solid from One Shape to Another,13,Surface Areas and Volumes
Frustum of a Cone,13,Surface Areas and Volumes
Summary,13,Surface Areas and Volumes
Introduction,14,Statistics
Mean of Grouped Data,14,Statistics
Mode of Grouped Data,14,Statistics
Median of Grouped Data,14,Statistics
Graphical Representation of Cumulative Frequency Distribution,14,Statistics
Summary,14,Statistics
Introduction,15,Probability
Probability — A Theoretical Approach,15,Probability
Summary,15,Probability
